"Что такое аксиоматическая теория множеств?","Подход, в котором понятие «множество» не определяется, а задаётся системой аксиом (например, ZF/ZFC), позволяющих строго выводить свойства множеств."
"Дайте определение декартова произведения множеств.","(A\times B={,(a,b)\mid a\in A,\ b\in B,}) — множество упорядоченных пар с первым элементом из (A) и вторым из (B)."
"Что такое диагональ декартова квадрата множества (A)?","(\Delta_A={,(x,x)\mid x\in A,}\subseteq A\times A)."
"Определите дополнение множества (A) (относительно вселенной (U)).","(A^{c}=U\setminus A={,x\in U\mid x\notin A,})."
"Что означает квантор всеобщности (\forall)?","Запись (\forall x,P(x)) означает: для всякого (x) высказывание (P(x)) истинно (в фиксированной области)."
"Что такое множество (интуитивно)?","Совокупность объектов (элементов), рассматриваемых как единое целое."
"В чём суть наивной теории множеств (принцип понимания)?","Постулируется: для любого предиката (P) существует множество ({x\mid P(x)}); такое допущение ведёт к парадоксам (напр., Рассела)."
"Дайте определение объединения двух множеств.","(A\cup B={,x\mid x\in A\ \text{или}\ x\in B,})."
"Определите отношение включения множеств.","(A\subseteq B\iff \forall x,(x\in A\Rightarrow x\in B))."
"Сформулируйте парадокс Рассела.","Если (R={x\mid x\notin x}), то (R\in R\iff R\notin R) — противоречие; наивная абстракция некорректна."
"Дайте определение пересечения множеств.","(A\cap B={,x\mid x\in A\ \text{и}\ x\in B,})."
"Один из законов де Моргана для множеств.","((A\cap B)^{c}=A^{c}\cup B^{c}) (относительно фиксированной вселенной)."
"Что такое проекции декартова произведения?","Отображения (\pi_1,\pi_2:A\times B\to A,B): (\pi_1(a,b)=a), (\pi_2(a,b)=b)."
"Что такое пустое множество (\varnothing)?","Множество без элементов; (\forall x, (x\notin \varnothing)); мощность (|\varnothing|=0)."
"Когда множества (A) и (B) равны?","(A=B\iff \forall x,(x\in A\Leftrightarrow x\in B))."
"Дайте определение разности множеств.","(A\setminus B={,x\in A\mid x\notin B,})."
"Приведите дистрибутивный закон для множеств.","(A\cap(B\cup C)=(A\cap B)\cup(A\cap C))."
"Определение упорядоченной пары.","((a,b)=(c,d)\iff a=c\ \text{и}\ b=d)."
"Что означает запись (x\in A)?","Элемент (x) принадлежит множеству (A); (x\notin A) — не принадлежит."
