"Что такое LDU-разложение матрицы?","Представление \(A=LDU\): \(L\) — нижняя треугольная с единицами на диагонали, \(D\) — диагональная, \(U\) — верхняя треугольная с единицами на диагонали (в симметричном случае \(A=LDL^{\top}\))."
"Дайте определение LU-разложения.","Представление \(A=LU\), где \(L\) — нижняя треугольная с единицами на диагонали, \(U\) — верхняя треугольная; используется для быстрого решения \(Ax=b\)."
"Что утверждает разложение \(PA=LU\)?","Существует матрица перестановки \(P\) такая, что \(PA=LU\) с \(L\) (нижняя, diag=1) и \(U\) (верхняя), т.е. перестановки строк обеспечивают LU при частичном выборе ведущего элемента."
"Когда система \(n\) уравнений с \(n\) неизвестными имеет единственное решение?","Тогда и только тогда, когда \(\det(A)\neq 0\) (эквивалентно: \(A\) обратима, \(\operatorname{rank}A=n\))."
"Сформулируйте ассоциативность умножения матриц.","При согласованных размерах \((AB)C = A(BC)\)."
"Что такое ведущий элемент на шаге исключения?","Элемент \(a_{kk}\) текущей матрицы на \(k\)-м шаге, используемый для обнуления элементов ниже в столбце; требуется \(a_{kk}\neq 0\)."
"Каково векторное представление системы?","Неизвестные: \(x=\begin{bmatrix}x_1\\\vdots\\x_n\end{bmatrix}\), правая часть: \(b=\begin{bmatrix}b_1\\\vdots\\b_m\end{bmatrix}\); система записывается как \(Ax=b\)."
"Что такое верхняя треугольная матрица?","Квадратная матрица \(U\) с нулями ниже главной диагонали (\(u_{ij}=0\) при \(i>j\)); система \(Ux=c\) решается обратной подстановкой."
"Когда матрица вырожденна?","Когда она необратима: эквивалентно \(\det(A)=0\), \(\operatorname{rank}A<n\), существует \(x\neq 0\): \(Ax=0\)."
"Сколько операций требует прямой ход Гаусса для \(n\times n\)?","Приблизительно \(n^3/3\) арифметических операций (доминирующий член)."
"Что такое единичная матрица \(I_n\)?","Квадратная матрица с \([I_n]_{ij}=\delta_{ij}\); нейтральный элемент: \(I_mA=A\), \(AI_n=A\)."
"Как интерпретировать \(Ax\) через столбцы \(A\)?","\(Ax=\sum_{j=1}^{n} x_j\, \mathbf a_j\), где \(\mathbf a_j\) — столбцы \(A\)."
"Что такое матрица коэффициентов?","Матрица \(A=(a_{ij})\), где \(a_{ij}\) — коэффициент при \(j\)-й неизвестной в \(i\)-м уравнении; система записывается как \(Ax=b\)."
"Что делает умножение \(PA\) матрицей перестановки \(P\)?","Переставляет строки матрицы \(A\) (\(P^{-1}=P^{\top}\)); умножение справа \(AP\) переставляет столбцы."
"Запишите матричную форму одного шага исключения.","Элементарная матрица \(E_{ij}=I- l_{ij}\, \mathbf e_i \mathbf e_j^{\top}\); умножение \(E_{ij}A\) реализует \(R_i\leftarrow R_i - l_{ij}R_j\)."
"Как записать систему в матричной форме?","Соберите коэффициенты в \(A\), неизвестные в \(x\), правые части в \(b\) и запишите одно уравнение \(Ax=b\)."
"Чем отличается метод Гаусса–Жордана?","Он обнуляет элементы и ниже, и выше ведущих, приводя \([A\,|\,b]\) к \([I\,|\,x]\) (или \([A\,|\,I]\to[I\,|\,A^{-1}]\))."
"Назовите две фазы метода исключения Гаусса.","Прямой ход (приведение к верхней треугольной) и обратная подстановка."
"Коммутативно ли умножение матриц?","Нет, в общем случае \(AB\neq BA\)."
"Что такое нижняя треугольная матрица?","Квадратная матрица \(L\) с нулями выше главной диагонали (\(l_{ij}=0\) при \(i<j\)); в LU обычно \(l_{ii}=1\)."
"Как поступать при нулевом ведущем элементе \(a_{kk}=0\)?","Переставить строки (частичный выбор); если в столбце ниже все нули — матрица вырождена и шаг невозможен."
"Как получить \(A^{-1}\) через исключение?","Привести расширенную матрицу \([A\,|\,I]\) к виду \([I\,|\,A^{-1}]\) теми же преобразованиями строк."
"Дайте формулу обратной подстановки для \(Ux=c\).","\(x_i=\dfrac{c_i-\sum_{j=i+1}^{n} u_{ij}x_j}{u_{ii}}\) для \(i=n,\ldots,1\)."
